id,question,answer,explanation,unit
12,copolymer는 반드시 단일 단량체만을 사용해 만들어진다.,X,[폴리머 재료의 기초 1P] 서술은 틀렸다. 틀린 지점은 'copolymer의 단량체 수'이다. 올바르게는 copolymer는 두 종류 이상의 단량체로 구성된 중합체이다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다.,폴리머 재료의 기초
13,"공중합체에는 alternating, random, block, graft 형태가 포함된다.",O,"[폴리머 재료의 기초 1P] 서술은 맞다. 공중합체에는 alternating, random, block, graft 형태가 포함된다. 특히 alternating·random·block·graft와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 폴리머의 기본 개념은 단량체·반복단위·분자량·공유결합을 구분하는 데서 시작한다. 단순히 “레진”이라는 재료명으로 외우면 적용 범위나 구조적 원인을 묻는 문제에서 흔들리기 쉽다. 비슷한 재료명이나 반응명을 바꿔 넣는 함정이 잘 생기므로, 비교 기준을 먼저 잡아야 한다.",폴리머 재료의 기초
14,폴리머 사슬의 공간배열은 열가소성과 열경화성 두 가지로만 분류된다.,X,"[폴리머 재료의 기초 1P] 서술은 틀렸다. 틀린 지점은 '공간배열 분류 기준'이다. 올바르게는 폴리머 사슬의 공간배열은 선형, 분지형, 가교결합형으로 구분할 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다.",폴리머 재료의 기초
15,열가소성 폴리머는 열과 압력에 의해 연화되어 몰딩될 수 있다.,O,"[폴리머 재료의 기초 1P] 서술은 맞다. 열가소성 폴리머는 열과 압력에 의해 연화되어 몰딩될 수 있다. 특히 열경화성와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다. 비슷한 재료명이나 반응명을 바꿔 넣는 함정이 잘 생기므로, 비교 기준을 먼저 잡아야 한다.",폴리머 재료의 기초
16,열가소성 폴리머는 냉각될 때 반드시 새로운 가교결합을 형성해 경화된다.,X,"[폴리머 재료의 기초 1P] 서술은 틀렸다. 틀린 지점은 '열가소성 경화 방식'이다. 올바르게는 열가소성 폴리머는 냉각 시 화학 변화 없이 굳어 몰딩된 형태를 유지한다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다.",폴리머 재료의 기초
17,열가소성 폴리머는 Tg 이상으로 재가열하면 성질 변화 없이 다시 연화되어 재성형될 수 있다.,O,"[폴리머 재료의 기초 1P] 서술은 맞다. 열가소성 폴리머는 Tg 이상으로 재가열하면 성질 변화 없이 다시 연화되어 재성형될 수 있다. 특히 열경화성와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다. 비슷한 재료명이나 반응명을 바꿔 넣는 함정이 잘 생기므로, 비교 기준을 먼저 잡아야 한다.",폴리머 재료의 기초
18,열가소성 폴리머는 대개 유기용매에 전혀 용해되지 않는 비용해성 재료이다.,X,"[폴리머 재료의 기초 1P] 서술은 틀렸다. 틀린 지점은 '열가소성의 용매 반응'이다. 올바르게는 열가소성 폴리머는 대개 유기용매에 용해될 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다.",폴리머 재료의 기초
19,"polyethylene, PVC, polypropylene, polystyrene, PMMA, polyester, Nylon은 열가소성 예에 포함된다.",O,"[폴리머 재료의 기초 1P] 서술은 맞다. polyethylene, PVC, polypropylene, polystyrene, PMMA, polyester, Nylon은 열가소성 예에 포함된다. 특히 열경화성 예와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다. 성분명은 비슷해 보여도 개시제, 활성제, 반응기처럼 역할이 다르면 정답이 달라진다.",폴리머 재료의 기초
20,열경화성 폴리머는 가열 몰딩 뒤에도 화학반응 없이 반복적으로 재성형된다.,X,"[폴리머 재료의 기초 1P] 서술은 틀렸다. 틀린 지점은 '열경화성의 화학반응'이다. 올바르게는 열경화성 폴리머는 가열 몰딩 중 화학반응을 거쳐 영구적으로 단단해진다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다.",폴리머 재료의 기초
21,열경화성 폴리머의 최종산물은 원래 기질과 달라지며 고도로 가교된 공간구조를 형성한다.,O,"[폴리머 재료의 기초 2P] 서술은 맞다. 열경화성 폴리머의 최종산물은 원래 기질과 달라지며 고도로 가교된 공간구조를 형성한다. 특히 열가소성와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.",폴리머 재료의 기초
22,열경화성 폴리머는 재가열하면 성질 변화 없이 다시 연화되어 재활용된다.,X,"[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 '열경화성의 재가열 반응'이다. 올바르게는 열경화성 폴리머는 재가열해도 연화되지 않고 분해되거나 열화되어 재활용이 어렵다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다.",폴리머 재료의 기초
23,열경화성 폴리머는 일반적으로 열가소성보다 마모저항성과 체적안정성이 높다.,O,"[폴리머 재료의 기초 2P] 서술은 맞다. 열경화성 폴리머는 일반적으로 열가소성보다 마모저항성과 체적안정성이 높다. 특히 열가소성와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다. 비슷한 재료명이나 반응명을 바꿔 넣는 함정이 잘 생기므로, 비교 기준을 먼저 잡아야 한다.",폴리머 재료의 기초
24,열경화성 폴리머는 대개 유기용매에 쉽게 녹는 용해성 재료로 분류된다.,X,"[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 '열경화성의 용해성'이다. 올바르게는 열경화성 폴리머는 대개 비용해성 재료로 분류된다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 열가소성과 열경화성의 가장 큰 차이는 재가열 후 거동이다. 열가소성은 화학 변화 없이 다시 연화될 수 있지만, 열경화성은 가교된 공간구조 때문에 다시 몰딩하기 어렵다.",폴리머 재료의 기초
25,"phenolics, polyurethane, epoxy, silicone, cross-linked PMMA, bisphenol A diacrylates는 열경화성 예에 포함된다.",O,"[폴리머 재료의 기초 2P] 서술은 맞다. phenolics, polyurethane, epoxy, silicone, cross-linked PMMA, bisphenol A diacrylates는 열경화성 예에 포함된다. 특히 열가소성 예와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 탄성중합체는 사슬이 움직일 수 있는 낮은 Tg와 회복을 도와주는 적절한 가교가 함께 필요하다. 너무 단단한 유리상 재료와 구분해서 보아야 한다. 성분명은 비슷해 보여도 개시제, 활성제, 반응기처럼 역할이 다르면 정답이 달라진다.",폴리머 재료의 기초
26,탄성중합체는 한 번 늘어나면 힘을 제거해도 원래 모양으로 돌아오지 않는 재료이다.,X,[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 '탄성중합체의 회복성'이다. 올바르게는 탄성중합체는 힘을 제거하면 원래 모양으로 돌아가는 가역적 신장성이 큰 중합체이다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 탄성중합체는 사슬이 움직일 수 있는 낮은 Tg와 회복을 도와주는 적절한 가교가 함께 필요하다. 너무 단단한 유리상 재료와 구분해서 보아야 한다.,폴리머 재료의 기초
27,탄성체에서는 지그재그 코일형 사슬이 응력에 의해 펴지는 동안 탄성 변형이 나타난다.,O,[폴리머 재료의 기초 2P] 서술은 맞다. 탄성체에서는 지그재그 코일형 사슬이 응력에 의해 펴지는 동안 탄성 변형이 나타난다. 특히 사슬 절단와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 탄성중합체는 사슬이 움직일 수 있는 낮은 Tg와 회복을 도와주는 적절한 가교가 함께 필요하다. 너무 단단한 유리상 재료와 구분해서 보아야 한다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.,폴리머 재료의 기초
28,polyethylene과 polystyrene은 대표적인 치과용 폴리머 탄성체로 제시된다.,X,"[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 '치과용 탄성체 예'이다. 올바르게는 polysulfide, rubber, silicone polymer, polyether는 치과용 폴리머 탄성체 예에 포함된다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 탄성중합체는 사슬이 움직일 수 있는 낮은 Tg와 회복을 도와주는 적절한 가교가 함께 필요하다. 너무 단단한 유리상 재료와 구분해서 보아야 한다.",폴리머 재료의 기초
29,탄성중합체는 chain segment가 열적으로 진동할 수 있도록 Tg가 실온보다 낮아야 한다.,O,[폴리머 재료의 기초 2P] 서술은 맞다. 탄성중합체는 chain segment가 열적으로 진동할 수 있도록 Tg가 실온보다 낮아야 한다. 특히 강성 고체와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 탄성중합체는 사슬이 움직일 수 있는 낮은 Tg와 회복을 도와주는 적절한 가교가 함께 필요하다. 너무 단단한 유리상 재료와 구분해서 보아야 한다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.,폴리머 재료의 기초
30,탄성중합체는 빠른 회복을 위해 가교결합이 전혀 없어야 한다.,X,[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 '탄성 회복과 가교'이다. 올바르게는 탄성중합체가 변형 후 빠르게 회복하려면 어느 정도의 가교결합이 필요하다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 탄성중합체는 사슬이 움직일 수 있는 낮은 Tg와 회복을 도와주는 적절한 가교가 함께 필요하다. 너무 단단한 유리상 재료와 구분해서 보아야 한다.,폴리머 재료의 기초
31,치과용 폴리머는 중합반응에 따라 축중합형과 부가중합형으로 나눌 수 있다.,O,"[폴리머 재료의 기초 2P] 서술은 맞다. 치과용 폴리머는 중합반응에 따라 축중합형과 부가중합형으로 나눌 수 있다. 특히 열 특성 분류와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 탄성중합체는 사슬이 움직일 수 있는 낮은 Tg와 회복을 도와주는 적절한 가교가 함께 필요하다. 너무 단단한 유리상 재료와 구분해서 보아야 한다. 비슷한 재료명이나 반응명을 바꿔 넣는 함정이 잘 생기므로, 비교 기준을 먼저 잡아야 한다.",폴리머 재료의 기초
32,부가중합형은 항상 많은 부산물을 만들어 체적 안정성 유지에 불리하다.,X,"[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 '부가중합과 체적안정성'이다. 올바르게는 부가중합형은 반응부산물이 없어 체적 안정성 유지에 유리하다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다.",폴리머 재료의 기초
33,평균 중합도는 중합체 사슬이 반복 단위체를 어느 정도 포함하는지를 나타내는 지표이다.,O,"[폴리머 재료의 기초 2P] 서술은 맞다. 평균 중합도는 중합체 사슬이 반복 단위체를 어느 정도 포함하는지를 나타내는 지표이다. 특히 전환율와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다. 용어 자체를 묻는 문제처럼 보여도, 실제로는 정의에 들어가는 구성 요소를 하나라도 바꾸면 바로 오답이 된다.",폴리머 재료의 기초
34,수평균분자량은 유리전이온도를 단순히 섭씨온도로 환산한 값이다.,X,"[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 '수평균분자량의 계산 의미'이다. 올바르게는 수평균분자량은 크기 구간의 평균 분자량과 사슬 분율을 이용해 계산한다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다.",폴리머 재료의 기초
35,전환율은 반응한 이중결합의 비율을 의미하며 상태에 따라 약 35~80% 범위를 보일 수 있다.,O,"[폴리머 재료의 기초 2P] 서술은 맞다. 전환율은 반응한 이중결합의 비율을 의미하며 상태에 따라 약 35~80% 범위를 보일 수 있다. 특히 DP와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다. 수치형 문항은 단위와 기준값이 함께 바뀌는 경우가 많으므로 숫자만 따로 외우면 위험하다.",폴리머 재료의 기초
36,중합체 분자 내부는 van der Waals force만으로 연결되고 분자 사이는 공유결합만 작용한다.,X,"[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 '분자 내·분자 간 결합 구분'이다. 올바르게는 중합체 분자 내부는 공유결합, 분자 사이는 van der Waals force의 영향을 받는다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다.",폴리머 재료의 기초
37,치과용 중합체는 대부분 비결정성이므로 유리전이온도를 가진다.,O,"[폴리머 재료의 기초 2P] 서술은 맞다. 치과용 중합체는 대부분 비결정성이므로 유리전이온도를 가진다. 특히 결정성와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.",폴리머 재료의 기초
38,치과용 중합체는 어떤 경우에도 short-range order를 가질 수 없다.,X,"[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 '부분 결정성 인정 여부'이다. 올바르게는 치과용 중합체도 부분적으로 short-range order를 가진 결정성을 보일 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다.",폴리머 재료의 기초
39,"중합체의 성질은 온도, 환경, 조성, 분자량, 구조 등에 의해 달라진다.",O,"[폴리머 재료의 기초 2P] 서술은 맞다. 중합체의 성질은 온도, 환경, 조성, 분자량, 구조 등에 의해 달라진다. 특히 분자량 단독와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다. 결과만 외우기보다 그 결과가 생기는 구조적 이유를 함께 보면 X문항의 방향 전환을 잡기 쉽다.",폴리머 재료의 기초
40,유리전이온도는 중합체가 완전히 기체로 변하는 온도이다.,X,"[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 'Tg 정의'이다. 올바르게는 유리전이온도는 분자의 운동으로 모든 사슬이 움직일 수 있게 되는 온도이다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다.",폴리머 재료의 기초
41,유리전이온도 이하에서 폴리머는 강성의 고체 특성을 보인다.,O,"[폴리머 재료의 기초 2P] 서술은 맞다. 유리전이온도 이하에서 폴리머는 강성의 고체 특성을 보인다. 특히 Tg 이상와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다. 증가·감소 방향이 바뀌면 같은 용어가 들어가도 전혀 다른 서술이 된다.",폴리머 재료의 기초
42,유리전이온도 이상에서도 폴리머 사슬 운동은 억제되어 강성 고체로만 남는다.,X,"[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 'Tg 이상 상태'이다. 올바르게는 유리전이온도 이상에서 폴리머는 점성 액체 또는 가소성 고체 특성을 보일 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다.",폴리머 재료의 기초
43,의치상은 구강온도에서는 강성을 유지하는 것이 바람직하다.,O,"[폴리머 재료의 기초 2P] 서술은 맞다. 의치상은 구강온도에서는 강성을 유지하는 것이 바람직하다. 특히 뜨거운 음식와 혼동하면 적용 대상이나 방향성이 바뀔 수 있다. 중합체의 성질은 온도와 구조에 따라 달라지며, Tg는 구강 내 사용 가능성을 판단하는 중요한 기준이 된다. 특히 의치상처럼 구강온도에서는 강성이지만 뜨거운 음식에서 연화될 수 있는 사례가 함께 연결된다. 사용 가능 여부는 성질 하나만이 아니라 취급성, 안정성, 구강 내 조건까지 함께 반영된다.",폴리머 재료의 기초
44,뜨거운 음식물은 의치상의 연화 가능성과 관련이 없다.,X,[폴리머 재료의 기초 2P] 서술은 틀렸다. 틀린 지점은 '온도 상승과 의치상 연화'이다. 올바르게는 뜨거운 음식물 섭취는 의치상의 연화를 유발할 가능성을 높일 수 있다. 이 문항은 방향성·대상 혼동을 이용해 정답 방향을 바꾼 경우이다. 중합도와 가교결합은 대체로 강도와 연화온도를 높이고 용해도를 낮추는 방향으로 작용한다. 반대로 복잡한 side chain은 사슬 운동을 쉽게 만들어 연화온도를 낮추는 쪽으로 이해해야 한다.,폴리머 재료의 기초
